                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.83519,                0.62855,                 1.2442,                 0.8735,                0.80369,                0.85148,                0.57201,                 1.1379,                0.75656,                 1.7421,              0.0033293,              0.0033293,              0.0033293
                      1,                 0.8799,                  0.659,                 1.2614,                0.86777,                0.78276,                0.84417,                 0.5701,                 1.1587,                0.77439,                 1.7653,              0.0066495,              0.0066495,              0.0066495
                      2,                0.95754,                 0.7493,                 1.3101,                0.85061,                0.77592,                0.83246,                0.55591,                  1.209,                0.84492,                 1.8011,              0.0099564,              0.0099564,              0.0099564
                      3,                 1.0066,                 0.8098,                 1.3579,                0.78043,                0.74045,                0.78425,                  0.499,                 1.2715,                 1.0301,                 1.8893,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.0144,                0.81546,                 1.3615,                0.84126,                0.77173,                0.85204,                0.56946,                 1.2008,                0.81885,                 1.7727,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0162,                0.82112,                 1.3563,                0.80484,                0.77449,                0.83304,                0.54984,                  1.192,                0.90209,                 1.7524,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.0138,                0.81178,                 1.3663,                0.83999,                0.77369,                0.84834,                0.57295,                 1.1336,                0.79377,                 1.7062,               0.009901,               0.009901,               0.009901
                      7,                 1.0043,                0.80278,                 1.3488,                 0.8528,                0.73691,                0.83507,                0.55639,                 1.1906,                0.86747,                 1.7613,              0.0098812,              0.0098812,              0.0098812
                      8,                0.99442,                  0.798,                 1.3474,                0.84464,                0.77449,                0.84811,                0.56523,                 1.1656,                  0.829,                 1.7486,              0.0098614,              0.0098614,              0.0098614
                      9,                0.99853,                0.80054,                 1.3481,                0.81192,                0.76883,                0.83901,                0.55935,                 1.1768,                0.81969,                 1.7579,              0.0098416,              0.0098416,              0.0098416
                     10,                0.99454,                0.79921,                 1.3503,                0.80255,                0.80677,                0.82383,                0.55188,                 1.1604,                0.83405,                 1.7287,              0.0098218,              0.0098218,              0.0098218
                     11,                0.98974,                 0.7893,                 1.3495,                0.79994,                0.82041,                 0.8326,                0.55126,                 1.2322,                0.82211,                 1.7899,               0.009802,               0.009802,               0.009802
                     12,                0.98683,                0.79312,                 1.3441,                0.84343,                0.77699,                0.82862,                  0.549,                 1.1632,                0.83838,                 1.7354,              0.0097822,              0.0097822,              0.0097822
                     13,                0.99478,                0.79625,                 1.3433,                0.82007,                0.78355,                0.83838,                 0.5621,                 1.1678,                0.84071,                 1.7655,              0.0097624,              0.0097624,              0.0097624
                     14,                0.97744,                 0.7854,                 1.3441,                0.85932,                0.76049,                0.82553,                0.54869,                 1.1713,                0.82826,                  1.739,              0.0097426,              0.0097426,              0.0097426
                     15,                0.97313,                0.77703,                 1.3381,                0.80925,                0.79866,                0.84186,                0.56779,                 1.1451,                0.80193,                 1.7404,              0.0097228,              0.0097228,              0.0097228
                     16,                0.97473,                0.77674,                 1.3388,                0.82004,                 0.7848,                0.82801,                0.56097,                 1.1322,                0.83131,                 1.7196,               0.009703,               0.009703,               0.009703
                     17,                0.97671,                 0.7729,                 1.3356,                0.84651,                0.77648,                0.85709,                0.57906,                 1.1301,                0.78957,                 1.7252,              0.0096832,              0.0096832,              0.0096832
                     18,                0.97401,                0.76321,                 1.3352,                 0.8261,                0.78068,                 0.8539,                0.57039,                 1.1174,                0.77372,                 1.6965,              0.0096634,              0.0096634,              0.0096634
                     19,                  0.963,                0.76176,                  1.329,                0.80089,                0.82112,                0.82854,                0.56973,                 1.1126,                0.81273,                 1.6896,              0.0096436,              0.0096436,              0.0096436
                     20,                0.96649,                0.76747,                 1.3347,                0.86207,                0.78603,                0.84836,                0.58238,                 1.0991,                0.74496,                 1.7041,              0.0096238,              0.0096238,              0.0096238
                     21,                0.97731,                0.75868,                 1.3297,                0.85373,                0.80643,                0.84711,                0.57212,                 1.1317,                0.78589,                 1.7248,               0.009604,               0.009604,               0.009604
                     22,                0.96215,                0.76949,                 1.3311,                0.82238,                0.82122,                0.84255,                0.55925,                 1.1348,                0.81482,                 1.7352,              0.0095842,              0.0095842,              0.0095842
                     23,                0.96434,                0.75897,                  1.332,                0.83094,                0.79017,                 0.8324,                0.56522,                 1.1125,                0.84911,                 1.7108,              0.0095644,              0.0095644,              0.0095644
                     24,                0.95956,                0.76997,                 1.3271,                0.82859,                0.82446,                0.85459,                0.57276,                 1.1264,                 0.8016,                 1.7241,              0.0095446,              0.0095446,              0.0095446
                     25,                0.95303,                0.74499,                 1.3195,                0.81693,                0.77838,                0.83734,                 0.5686,                 1.1362,                0.79742,                 1.7225,              0.0095248,              0.0095248,              0.0095248
                     26,                0.94255,                0.74557,                 1.3187,                0.82249,                0.82935,                 0.8622,                0.58433,                 1.1186,                0.76789,                 1.7047,               0.009505,               0.009505,               0.009505
                     27,                0.94559,                0.74418,                  1.323,                0.80433,                0.82878,                0.85256,                0.58106,                 1.1256,                0.77101,                  1.707,              0.0094852,              0.0094852,              0.0094852
                     28,                0.94154,                0.73576,                 1.3134,                0.85229,                0.79521,                0.84726,                0.57868,                 1.1546,                0.79402,                 1.7242,              0.0094654,              0.0094654,              0.0094654
                     29,                0.94705,                0.73483,                 1.3184,                0.83419,                0.76227,                0.81879,                 0.5534,                 1.1357,                0.83405,                 1.7306,              0.0094456,              0.0094456,              0.0094456
                     30,                0.95233,                0.72892,                 1.3167,                0.82868,                0.80692,                0.84604,                 0.5864,                 1.1239,                0.76605,                 1.6903,              0.0094258,              0.0094258,              0.0094258
                     31,                0.95248,                0.73282,                 1.3198,                0.82956,                 0.8036,                0.84586,                0.57506,                 1.1416,                0.77591,                 1.7394,               0.009406,               0.009406,               0.009406
                     32,                0.94391,                 0.7291,                 1.3178,                0.83975,                0.82982,                0.85158,                0.58262,                  1.126,                0.73311,                 1.7344,              0.0093862,              0.0093862,              0.0093862
                     33,                0.94039,                0.73351,                 1.3165,                 0.8451,                0.78885,                0.84067,                0.57509,                 1.1129,                0.77475,                 1.7064,              0.0093664,              0.0093664,              0.0093664
                     34,                0.93852,                0.72932,                  1.313,                 0.8457,                0.80894,                0.83953,                0.58448,                 1.1056,                0.74901,                 1.6962,              0.0093466,              0.0093466,              0.0093466
                     35,                0.93393,                0.72886,                 1.3082,                0.86098,                0.80043,                0.85033,                0.58406,                 1.1216,                0.74514,                 1.6845,              0.0093268,              0.0093268,              0.0093268
                     36,                0.92814,                 0.7129,                 1.3058,                0.86001,                0.80668,                0.85486,                0.58331,                 1.1231,                0.73512,                 1.7113,               0.009307,               0.009307,               0.009307
                     37,                0.93294,                0.72268,                 1.3062,                0.83942,                0.81699,                0.86237,                0.58935,                 1.1063,                0.72607,                 1.6794,              0.0092872,              0.0092872,              0.0092872
                     38,                 0.9335,                 0.7235,                 1.3132,                0.85101,                 0.7945,                0.85008,                0.58269,                 1.1071,                0.73382,                 1.7083,              0.0092674,              0.0092674,              0.0092674
                     39,                0.93528,                0.70881,                 1.3029,                0.85506,                0.81636,                0.86762,                0.58141,                 1.1176,                0.75211,                 1.7128,              0.0092476,              0.0092476,              0.0092476
                     40,                0.92585,                0.72019,                 1.2987,                0.81687,                0.82689,                0.84961,                0.56651,                 1.1572,                0.77583,                 1.7676,              0.0092278,              0.0092278,              0.0092278
                     41,                0.92376,                0.71112,                 1.2988,                0.83761,                0.80026,                0.85987,                0.57532,                 1.1413,                0.76532,                 1.7418,               0.009208,               0.009208,               0.009208
                     42,                0.92195,                0.71468,                 1.2948,                 0.8372,                0.81808,                0.85422,                0.58009,                 1.1255,                0.75821,                 1.7195,              0.0091882,              0.0091882,              0.0091882
