                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4082,                 2.3981,                 1.6649,                0.46147,                0.50941,                0.48738,                 0.2311,                 1.5656,                 3.0539,                 2.0953,             0.00047403,             0.00047403,             0.00047403
                      1,                  1.506,                 2.0374,                 1.7057,                0.44868,                0.52073,                0.45493,                 0.2323,                 1.5329,                 2.3058,                 2.0699,             0.00085628,             0.00085628,             0.00085628
                      2,                 1.4745,                 1.9418,                 1.7119,                0.58312,                0.49806,                0.51247,                0.28701,                 1.5053,                 1.9391,                 2.0402,              0.0011442,              0.0011442,              0.0011442
                      3,                 1.4696,                 1.7909,                 1.7048,                0.61923,                0.55069,                0.62558,                0.35882,                 1.4571,                 1.8428,                  1.926,              0.0010046,              0.0010046,              0.0010046
                      4,                 1.4519,                 1.6601,                 1.6622,                 0.5545,                0.61938,                0.62628,                0.34731,                 1.4397,                 1.6852,                  1.968,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.4117,                 1.5951,                 1.6414,                0.61099,                0.68393,                0.67783,                0.39379,                  1.473,                 1.5369,                 1.9166,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.3568,                 1.4933,                 1.6142,                0.67668,                0.73481,                0.73945,                 0.4597,                 1.3824,                 1.3115,                 1.8524,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.3578,                 1.3973,                 1.5847,                0.72371,                 0.7222,                0.76495,                0.48945,                 1.3014,                 1.2098,                 1.7557,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.2695,                 1.2733,                 1.5369,                0.79463,                0.72476,                0.78682,                 0.5003,                 1.2757,                  1.149,                 1.7377,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.2473,                  1.223,                 1.5198,                0.81464,                0.72415,                0.80504,                0.51945,                 1.2655,                 1.1146,                  1.745,             0.00029723,             0.00029723,             0.00029723
