                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4082,                 2.3981,                 1.6649,                0.46147,                0.50941,                0.48738,                 0.2311,                 1.5656,                 3.0539,                 2.0953,             0.00047403,             0.00047403,             0.00047403
                      1,                  1.507,                 2.0553,                 1.7138,                0.42882,                0.60539,                 0.4636,                0.23322,                 1.6069,                 2.6242,                 2.1411,               0.000919,               0.000919,               0.000919
                      2,                 1.5024,                 2.0057,                 1.7429,                0.50814,                0.62966,                0.50809,                0.23606,                 1.5446,                 2.1182,                 2.1134,              0.0013325,              0.0013325,              0.0013325
                      3,                 1.5128,                 1.8612,                 1.7431,                0.60867,                0.50538,                0.53472,                0.28532,                 1.5409,                 1.8736,                 2.0556,              0.0012875,              0.0012875,              0.0012875
                      4,                 1.4871,                 1.7335,                 1.7066,                 0.5222,                0.62792,                 0.5698,                0.30305,                 1.5683,                 1.7615,                 2.0128,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.4825,                 1.6738,                 1.6843,                0.54027,                0.52578,                0.55385,                0.29874,                 1.5336,                 1.8377,                 1.9885,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.4291,                 1.5926,                 1.6658,                0.73716,                0.67785,                0.72452,                0.42796,                 1.4193,                 1.3757,                 1.9221,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.4404,                 1.4982,                 1.6497,                0.66002,                0.66577,                0.67618,                0.39515,                 1.3986,                 1.4308,                  1.885,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.3699,                 1.4375,                 1.6268,                0.77012,                0.65952,                0.72418,                 0.4378,                  1.379,                 1.3255,                 1.8621,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.3714,                  1.367,                 1.6074,                0.72378,                 0.7267,                0.74747,                0.42996,                 1.4126,                 1.2618,                 1.8838,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.3705,                 1.3497,                 1.5885,                0.73035,                0.65641,                0.72755,                0.44546,                 1.3988,                 1.2663,                 1.8637,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.3324,                 1.2802,                 1.5747,                0.76202,                0.71646,                0.77597,                0.45469,                 1.4109,                  1.211,                 1.9036,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.3427,                  1.264,                 1.5701,                0.73072,                0.74586,                0.76089,                  0.477,                 1.3245,                 1.1774,                 1.8125,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.2933,                 1.2247,                 1.5409,                0.82801,                0.69639,                0.79043,                0.49062,                 1.3471,                 1.0861,                 1.8248,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.3022,                   1.22,                 1.5422,                0.82492,                0.67128,                0.79842,                0.50631,                 1.2833,                 1.1301,                 1.7375,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.2831,                 1.1578,                  1.531,                0.78539,                0.76417,                0.80367,                0.52771,                 1.2967,                 1.0175,                 1.7755,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.2945,                 1.1466,                 1.5369,                0.75438,                0.75441,                0.81265,                0.50942,                 1.3427,                 1.0009,                 1.8028,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.2746,                 1.1321,                 1.5246,                0.75823,                0.76167,                0.79936,                0.51013,                 1.3345,                 1.0314,                 1.7807,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.2606,                 1.0865,                 1.5165,                0.76936,                0.74899,                0.79448,                0.51452,                 1.2986,                 1.0107,                 1.7676,             0.00062733,             0.00062733,             0.00062733
                     19,                  1.204,                 1.0266,                 1.4744,                0.81327,                0.76423,                 0.8281,                0.53655,                 1.3407,                0.94059,                 1.7894,             0.00058017,             0.00058017,             0.00058017
                     20,                 1.2151,                 1.0408,                 1.4617,                 0.7918,                0.78987,                0.82511,                0.53822,                   1.27,                0.95042,                 1.7456,             0.00053302,             0.00053302,             0.00053302
                     21,                  1.217,                 1.0214,                  1.473,                0.80985,                0.73322,                0.81602,                0.54656,                 1.2759,                0.92022,                 1.7309,             0.00048586,             0.00048586,             0.00048586
                     22,                  1.196,                 1.0018,                 1.4708,                0.85203,                0.75619,                0.83855,                0.55845,                 1.2487,                0.91998,                 1.7024,              0.0004387,              0.0004387,              0.0004387
                     23,                 1.1935,                0.99237,                 1.4546,                0.80216,                0.81398,                0.84799,                0.56855,                 1.2332,                0.85401,                 1.6683,             0.00039155,             0.00039155,             0.00039155
                     24,                 1.1531,                0.93209,                 1.4377,                0.80732,                0.79725,                0.84053,                0.57641,                 1.2342,                0.87896,                 1.6819,             0.00034439,             0.00034439,             0.00034439
